,Names,Description,Age,Birthplace,Profession,Twitter Screen name,Twitter Name,Twitter Description,Twitter Followers Count,Twitter Status Count,Twitter Verified
0,Jeff Bezos," Jeffrey Preston ""Jeff"" Bezos is an American business magnate and investor. He is a technology entrepreneur who has played a key role in the growth of e-commerce as the founder and CEO of Amazon.com, an online merchant of books and later of a wide variety of products. Under his guidance, Amazon.com became the largest retailer on the World Wide Web and a top model for Internet sales. In 2013, Bezos purchased The Washington Post newspaper. As of March 2015, Bezos's personal wealth is estimated to be US$34.8 billion, ranking him number 15 on the Forbes list of billionaires. ...more on Wikipedia ",54,"Albuquerque, New Mexico, United States of America","Businessperson, Entrepreneur",JeffBezos,Jeff Bezos,"Amazon, Blue Origin, Washington Post",773762.0,184.0,True
1,Bill Gates," William Henry ""Bill"" Gates III is an American business magnate, philanthropist, investor, computer programmer, and inventor. Gates originally established his reputation as the co-founder of Microsoft, the world’s largest PC software company, with Paul Allen. During his career at Microsoft, Gates held the positions of chairman, CEO and chief software architect, and was also the largest individual shareholder until May 2014. He has also authored and co-authored several books. Today he is consistently ranked in the Forbes list of the world's wealthiest people and was the wealthiest overall from 1995 to 2014—excluding a few brief periods post-2008. Between 2009 and 2014 his wealth more than ...more on Wikipedia ",62,"USA, Washington, Seattle","Programmer, Software Architect, Businessperson, Investor, Entrepreneur",BillGates,Bill Gates,Sharing things I'm learning through my foundation work and other interests.,46345218.0,2945.0,True
2,Larry Ellison," Lawrence Joseph ""Larry"" Ellison is an American programmer, internet entrepreneur, adventurer, businessman and philanthropist. He was the Chief Executive Officer of the software company Oracle Corporation between its foundation in 1977 and 2014. In 2014, he was listed by Forbes as the third-wealthiest man in America and as the fifth-wealthiest person in the world, with a fortune of $56.2 billion. Ellison was born in New York City but grew up in Chicago. He studied at the University of Illinois at Urbana–Champaign and the University of Chicago without graduating before moving to California in 1966. While working at Ampex Corporation in the early 1970s, he became influenced by Edgar F. Codd's ...more on Wikipedia ",74,"Lower East Side, New York City, New York, United States of America","Businessperson, Investor, Entrepreneur",larryellison,Larry Ellison,,102268.0,1.0,True
3,Elon Musk," Elon Reeve Musk is a South African-born, Canadian-American entrepreneur, engineer, inventor and investor. He is the CEO and CTO of SpaceX, CEO and chief product architect of Tesla Motors, and chairman of SolarCity. He is the founder of SpaceX and a cofounder of Paypal, Inc., Tesla Motors, and Zip2. He has also envisioned a conceptual high-speed transportation system known as the Hyperloop. ...more on Wikipedia ",47,"Pretoria, South Africa","Businessperson, Investor, Entrepreneur, Film Producer, Inventor, + more",elonmusk,Elon Musk,,24351664.0,6516.0,True
4,Mark Zuckerberg," Mark Elliot Zuckerberg is an American computer programmer and Internet entrepreneur. He is best known as one of five co-founders of the social networking website Facebook. Zuckerberg was made the chairman and chief executive of Facebook, Inc. in April 2013. and his personal wealth, as of March 2015, is estimated to be $35.1 billion. Mark Zuckerberg receives a one-dollar salary as CEO of Facebook. Together with his college roommates and fellow Harvard University students Eduardo Saverin, Andrew McCollum, Dustin Moskovitz, and Chris Hughes, Zuckerberg launched Facebook from Harvard University's dormitory rooms. The group then introduced Facebook onto other campuses nationwide and moved to Palo ...more on Wikipedia ",33,"White Plains, New York, United States of America","Programmer, Businessperson, Entrepreneur",MarkZuc24574375,Mark Zuckerberg,Co-founder$CEO of #facebook,253.0,9.0,False
5,Vera Wang," Vera Ellen Wang is an American fashion designer based in New York City and former figure skater. She is known for her wide range of haute couture bridesmaid gowns and wedding gown collections, as well as for her clientele of elite lady figure skaters, designing dresses for competitions and exhibitions. ...more on Wikipedia ",68,"New York City, New York, United States of America","Fashion designer, Designer",VeraWangGang,Vera Wang,The complete world of Vera Wang.,862121.0,7021.0,True
6,Ted Turner," Robert Edward ""Ted"" Turner III is an American media mogul and philanthropist. As a businessman, he is known as founder of the Cable News Network more popularly known as CNN, the first 24-hour cable news channel. In addition, he founded WTBS, which pioneered the superstation concept in cable television. As a philanthropist, he is known for his $1 billion gift to support the United Nations, which created the United Nations Foundation, a public charity to broaden support for the UN.  ...more on Wikipedia ",79,"Cincinnati, Ohio, USA","Businessperson, Television producer, Entrepreneur, Film Producer, Screenwriter, + more",TedTurnerIII,Ted Turner,Official Twitter account for Ted Turner. Entrepreneur; pioneer in sustainable solutions; philanthropist; media mogul; restaurateur. Tweets from Ted & his team.,12125.0,429.0,True
7,Richard Branson," Sir Richard Charles Nicholas Branson is an English businessman and investor. He is best known as the founder of Virgin Group, which comprises more than 400 companies. At the age of sixteen his first business venture was a magazine called Student. In 1970, he set up a mail-order record business. In 1972, he opened a chain of record stores, Virgin Records, later known as Virgin Megastores. Branson's Virgin brand grew rapidly during the 1980s, as he set up Virgin Atlantic and expanded the Virgin Records music label. According to the Forbes 2014 list of billionaires, Branson is the seventh richest citizen of the United Kingdom, with an estimated net worth of US$4.9 billion. ...more on Wikipedia ",67,"Blackheath, London, London, United Kingdom","Businessperson, Television producer, Investor, Entrepreneur, Film Producer, + more",richardbranson,Richard Branson,"Tie-loathing adventurer, philanthropist & troublemaker, who believes in turning ideas into reality. Otherwise known as Dr Yes at @virgin!",12474426.0,22387.0,True
8,Oprah Winfrey," Oprah Gail Winfrey is an American media proprietor, talk show host, actress, producer, and philanthropist. Winfrey is best known for her multi-award-winning talk show The Oprah Winfrey Show, which was the highest-rated program of its kind in history and was nationally syndicated from 1986 to 2011. Dubbed the ""Queen of All Media"", she has been ranked the richest African-American of the 20th century, the greatest black philanthropist in American history, and is currently North America's only black billionaire. She is also, according to some assessments, the most influential woman in the world. In 2013, she was awarded the Presidential Medal of Freedom by President Barack Obama and honorary ...more on Wikipedia ",61,"Kosciusko, Mississippi, United States of America","Businessperson, Journalist, Television producer, Film Producer, Actor, + more",Oprah,Oprah Winfrey,,41886010.0,12614.0,True
9,Michael Dell," Michael Saul Dell is an American businessman and entrepreneur. Michael, founder and CEO of Dell, Inc. is listed as one of 2009 Forbes Billionaires. ...more on Wikipedia ",53,"Houston, Texas, United States of America","Businessperson, Entrepreneur",MichaelDell,Michael Dell,Self employed 🇺🇸 Grateful https://t.co/vPbQgbRDOV VMware https://t.co/t4213FbBaJ https://t.co/Lk9VxbjC74 https://t.co/2QEmywiWHv https://t.co/ywmcEYMUg0,663669.0,4176.0,True
